1187,52
1861,36
1839,51
609,74
1598,100
776,83
1319,38
567,87
279,92
1097,17
835,100
1331,20
820,27
931,74
1955,67
1208,53
1160,64
418,45
328,73
1017,28
1421,66
149,55
429,81
868,28
793,77
939,19
1113,79
1928,89
300,59
1054,67
42,94
1034,48
697,37
1393,73
345,39
312,88
946,42
383,11
1240,39
519,30
1115,85
1587,81
1549,77
1375,85
94,36
960,78
555,6
1230,9
899,67
1221,39
1411,51
2,18
139,39
563,92
949,34
1672,54
1516,5
12,10
60,49
1766,73
129,96
1143,14
1044,43
1153,72
1118,24
922,14
1461,3
1625,22
191,2
866,41
1831,19
529,42
1740,14
44,69
1562,92
1688,53
1226,3
1183,12
406,73
161,71
1527,70
552,15
678,65
485,95
962,49
1714,21
475,29
116,27
508,93
257,22
1322,39
1597,41
1919,35
1204,71
271,39
463,44
204,68
768,31
553,76
961,61
625,88
1112,72
1281,31
943,10
1631,35
43,42
647,48
356,43
970,85
1478,28
1252,46
1992,82
411,62
1266,1
1939,34
1621,55
1545,8
442,55
41,77
3,13
1628,93
1611,8
704,59
718,48
238,2
38,85
81,78
1731,72
778,4
1581,86
516,59
760,76
141,16
1846,15
1311,51
1845,48
649,85
168,64
620,71
1417,67
1078,15
950,32
964,14
348,94
101,47
687,41
124,18
1857,52
1933,50
13,41
1306,55
1506,49
1951,82
1873,56
1244,6
1211,49
1991,39
224,52
1336,47
1441,29
798,11
583,31
1531,24
780,46
242,59
96,17
910,2
928,95
882,36
1623,45
1934,13
1253,47
1906,45
1258,77
315,31
1931,94
1679,59
698,48
1124,12
1553,85
362,65
831,8
173,13
1260,69
377,68
172,80
1541,70
677,55
46,64
1526,93
927,79
309,33
1037,38
423,95
897,40
396,90
792,23
1985,98
1171,12
1691,22
214,27
1075,53
1473,21
1612,3
1577,27
1501,38
1637,96
787,94
251,73
1325,94
1879,93
1978,59
1633,75
972,78
1257,65
229,36
324,30
957,28
316,58
584,35
1509,92
1609,64
640,72
714,19
878,32
1870,29
1782,26
1741,24
590,47
1058,94
1043,12
346,77
1485,100
861,100
454,49
549,48
1193,83
526,44
1537,73
307,59
1834,91
198,51
1650,50
1169,20
360,53
1085,5
560,57
1278,59
225,68
318,18
1176,50
320,22
1090,27
1981,47
1792,71
1119,35
146,53
402,74
344,48
654,76
536,78
728,73
1568,95
809,40
1847,29
740,97
1502,37
270,72
1383,61
1016,46
1270,56
1445,15
1470,97
1203,46
1710,32
880,90
633,59
919,11
491,40
335,35
89,21
1060,18
1021,16
284,12
705,63
1148,1
1918,5
1453,70
1736,8
278,34
450,24
1891,50
25,73
1800,80
812,67
1432,49
1513,9
57,43
607,46
1604,11
1848,79
1359,93
1647,7
1467,61
1603,18
556,88
1228,13
1122,60
929,89
297,81
733,30
839,45
291,72
699,25
185,58
1340,49
8,19
234,86
1192,57
80,90
1970,66
989,29
1080,9
1874,59
854,22
424,43
1397,77
1557,80
1401,15
846,59
1297,9
1818,68
1213,73
1754,90
9,73
588,79
591,97
1983,97
465,88
1029,99
1053,22
628,52
707,31
945,92
438,5
45,30
1026,84
1061,81
1233,50
532,62
646,92
1876,71
1945,80
294,32
906,75
171,25
1599,25
659,60
296,21
859,89
1865,51
156,49
975,53
1137,79
1399,88
749,31
1416,74
1298,25
1584,64
1339,31
358,87
599,4
1680,13
1464,75
430,53
1649,7
1882,86
1807,40
559,32
1856,72
267,32
254,3
1389,90
1640,85
1783,100
306,3
1394,24
49,35
1068,35
482,13
797,72
374,45
712,29
963,95
1495,58
511,36
879,49
323,10
1971,30
672,49
1668,20
981,90
1656,68
1103,89
1749,88
884,51
1207,84
993,4
581,52
1779,93
1265,22
366,24
1352,75
1719,15
1952,50
1395,36
1003,55
518,19
436,1
1219,40
671,73
726,15
1316,33
513,42
651,74
496,83
1660,39
1904,18
742,25
1574,41
1678,94
1524,34
18,79
650,89
716,29
1730,99
923,86
1835,68
64,15
1396,20
871,70
940,57
6,76
558,10
1245,4
1059,52
1284,78
968,81
1624,89
427,34
419,6
317,94
779,64
189,35
1152,14
117,9
1236,82
912,33
451,36
613,39
245,88
550,17
280,12
1629,24
29,34
1479,35
788,41
105,28
766,21
885,2
745,56
92,86
1209,11
177,21
1709,97
632,89
1728,11
35,43
26,6
1735,22
1373,80
1862,62
1326,37
741,26
813,20
1004,71
777,98
708,62
221,80
1477,98
1161,90
913,42
384,47
1023,42
1104,14
1496,85
1348,41
1323,46
1644,99
127,48
1685,75
1025,7
1573,64
455,90
1948,57
515,83
1476,83
0,72
401,2
107,35
1165,70
486,93
403,94
17,76
1072,75
1698,95
1391,9
1841,99
394,33
1666,6
629,44
1368,97
1929,68
166,34
1661,17
1552,99
1786,75
1388,97
293,67
1820,53
1195,68
1358,91
548,59
1785,79
1515,13
1808,18
298,7
420,64
412,42
1048,10
670,25
1700,88
1194,48
305,41
1305,45
544,96
681,78
1618,6
53,82
1894,38
1303,28
1546,63
542,51
1062,1
1442,46
1723,81
329,81
645,2
1721,63
1830,74
1126,42
477,54
1989,17
493,15
1010,52
1761,63
184,76
439,31
505,52
200,10
1398,98
721,9
525,18
409,24
373,99
1504,4
1738,43
98,35
135,16
1887,31
314,32
1771,56
1980,15
934,8
1151,97
336,46
1990,39
478,47
1129,44
192,34
1174,43
1793,91
331,72
1332,47
1384,15
789,98
1039,17
1100,30
1380,15
1238,29
1913,62
1995,61
1571,82
425,85
830,57
1610,68
657,61
1351,53
938,68
527,81
695,87
357,66
1854,34
690,80
249,63
1701,86
1277,3
1452,27
1489,12
514,54
1357,6
883,73
1977,90
1469,59
1406,38
23,93
1790,32
1067,85
32,54
326,60
1250,80
700,94
719,5
892,79
953,34
62,67
1643,22
391,23
325,21
1222,60
112,20
1579,54
569,45
1237,94
1273,97
1511,2
543,100
256,29
1987,64
157,62
1732,41
1338,40
410,87
